codePoint,radicalId,numberOfStrokesInRadical,numberOfStrokes,onyomi,kunyomi,jisLevel,regular,forName
19968,1,0,1,"ICHI,ITSU","HITOTSU,HITOTABI,HAJIME",1,true,true
19969,1,1,2,"TEI,CHOU,TOU","HINOTO,ATARU,YOBORO",1,true,true
19971,1,1,2,"SHICHI,SHITSU","NANATSU,NANATABI",1,true,true
19975,1,2,3,"MAN,BAN",YOROZU,1,true,true
19976,1,2,3,"JOU,CHOU","TAKE,DAKE",1,true,true
19977,1,2,3,SAN,"MITSU,MITABI",1,true,true
19978,1,2,3,"JOU,SHOU","UE,KAMI,NOBORU",1,true,true
19979,1,2,3,"KA,GE","SHITA,SHIMO,MOTO",1,true,true
19981,1,3,4,"FU,BU,FUTSU,HI","SEZU,NIARAZU,INAYA",1,true,true
19982,1,3,3,YO,"ATAERU,KUMISURU,TOMONI",1,true,true
19984,1,3,4,"KAI,KATSU",KOU,2,false,false
19985,1,3,4,"CHUU,CHU",USHI,1,false,true
19988,1,4,5,"SHA,SHO",KATSU,1,true,true
19989,1,4,5,HI,OOKII,2,false,false
19990,1,4,5,"SE,SEI",YO,1,true,true
19991,1,3,5,"SEI,SE",YO,2,false,false
19992,1,4,5,KYUU,OKA,1,true,true
19993,1,4,5,"HEI,HYOU",HINOE,1,true,true
19998,1,5,6,"SHOU,JOU","SUKUU,TASUKERU",1,false,true
20001,1,5,6,RYOU,FUTATSU,1,true,true
20006,1,7,8,HEI,"NAMI,NARABERU,NARABINI",1,true,true
20010,2,2,3,"KA,KO","KO,HI",2,false,false
20013,2,3,4,CHUU,"NAKA,UCHI,ATARU",1,true,true
20017,2,4,5,"KAN,KOU,KEN","AGEMAKI,ARAGANE",2,false,false
20018,2,6,7,"SEN,KAN","KUSHI,TSURANUKU",1,true,true
20022,3,0,1,CHU,"TEN,CHOBO,SHIRUSHI",2,false,false
20024,3,2,3,GAN,"MARUI,MARUMERU,TAMA",1,true,true
20025,3,3,4,TAN,"AKA,NI",1,true,true
20027,3,4,5,"SHU,SU","NUSHI,OMO,ARUJI",1,true,true
20028,3,4,5,"SEI,TAN,SHOU",DONBURI,2,true,true
20031,4,0,1,"HETSU,HECHI,YOU",MOTORU,2,false,false
20034,4,1,2,"GAI,GE","KARU,OSAMERU,OSAMARU",2,false,false
20035,4,1,2,"DAI,AI,NAI","SUNAWACHI,NO",1,false,true
20037,4,2,3,"KYUU,KU",HISASHII,1,true,true
20043,4,3,3,SHI,"YUKU,KORE,NO",1,false,true
20045,4,4,5,"SAKU,SA","TACHIMACHI,NAGARA",1,false,false
20046,4,4,5,KO,"YO,KANA,KA",1,false,true
20047,4,4,4,BOU,TOBOSHII,1,true,true
20053,4,6,7,KO,TORA,2,false,false
20054,4,7,8,KAI,"MODORU,SOMUKU",2,false,false
20055,4,8,9,"JOU,SHOU","NORU,NOSERU",1,true,true
20056,4,9,10,"JOU,SHOU",NORU,2,false,true
20057,5,0,1,OTSU,"KINOTO,OTO",1,true,true
20061,5,1,2,"KYUU,KU",KOKONOTSU,1,true,true
20062,5,2,3,"KOTSU,KI","KOU,KOI",1,true,true
20063,5,2,3,YA,"NARI,MATA",1,false,true
20066,46,1,4,GAI,"KASA,FUTA,OOU",2,false,false
20081,5,6,7,RAN,"MIDARERU,OSAMERU,MIDASU",1,true,true
20083,5,7,8,NYUU,"CHICHI,CHI",1,true,true
20094,5,10,11,"KAN,KEN,GEN","KAWAKU,KAWAKASU,INUI",1,true,true
20096,5,10,11,"KI,KYUU,KIN",KAME,1,true,true
20098,5,12,13,"RAN,RON",MIDARERU,2,false,false
20101,6,0,1,KETSU,KAGI,2,false,false
20102,6,1,2,RYOU,"OWARU,TSUINI",1,true,true
20104,6,3,4,"YO,SHA","ATAERU,ARAKAJIME",1,true,true
20105,6,5,6,SOU,"ARASOU,ARASOI,IKADEKA",1,true,true
20106,6,6,7,"JI,ZU,SHI","KOTO,TSUKAU,KOTOTOSURU",2,false,false
